CLIENTE,CP,SEXO,PLAN,SEM_ATRASO,SALDO,ATRASO,MORAS,P_INICIAL,P_SEMANAL,BONIF_MORAS,PLAZO_DIAS,BONIF_INTERESES,POR_DEVENGAR
133,32575,F,REGULARIZACION,12,20863,2979,668,805,470,0,105,0,10749
134,32594,M,LIQUIDACION,236,9828,9828,7538,891,373,6031,196,0,0
135,32574,M,LIQUIDACION,58,18446,18446,9289,9714,0,9289,0,8732,0
136,32576,M,REGULARIZACION,11,36915,4191,850,1237,660,0,105,0,19712
137,32690,F,LIQUIDACION,14,5278,3646,137,999,552,0,56,0,894
138,32587,F,LIQUIDACION,235,4512,4512,2700,1749,0,2700,0,2763,0
139,32576,M,REESTRUCTURA,17,7067,3128,973,1019,130,0,378,0,
140,32696,M,LIQUIDACION,101,48027,48027,16425,4815,831,16425,364,0,0
141,32696,M,REGULARIZACION,10,12907,1373,209,504,248,0,84,0,6807
142,32587,F,LIQUIDACION,57,16488,13394,7199,8329,0,7199,0,6442,1859.91
143,32575,F,REGULARIZACION,12,21805,4209,617,811,418,0,210,0,9358
144,32696,F,LIQUIDACION,19,2175,2175,1187,1098,283,0,56,0,0
145,32575,M,LIQUIDACION,69,5830,5830,1944,574,292,1944,126,0,0
146,32575,M,LIQUIDACION,13,3291,2491,0,371,365,0,56,0,415
147,32575,M,LIQUIDACION,14,5859,3906,1033,2004,611,0,56,0,1163
148,32575,F,LIQUIDACION,14,2980,2980,1018,454,443,0,56,0,0
149,32696,F,LIQUIDACION,16,19450,8674,990,2005,1880,0,56,0,6226
150,32425,M,REGULARIZACION,13,12535,4327,564,1051,500,0,189,0,4479
151,32700,M,REGULARIZACION,12,35455,4269,527,1007,643,0,105,0,18922
152,32696,F,REGULARIZACION,6,14879,1702,102,816,442,0,63,0,7207
153,32584,M,LIQUIDACION,46,10774,10774,7260,1102,186,7260,364,0,0
154,32575,M,LIQUIDACION,20,5638,3050,606,631,627,0,56,0,1347
155,32575,M,REGULARIZACION,12,20950,4601,1147,1012,565,0,210,0,7624
156,32584,F,REGULARIZACION,8,36155,2701,87,783,655,0,63,0,19489
157,32584,F,REGULARIZACION,4,13072,688,42,344,234,0,63,0,7603
158,32576,M,REGULARIZACION,13,23815,4563,1112,1471,651,0,105,0,10771
159,32695,F,REGULARIZACION,11,39023,4428,815,1006,493,0,378,0,20159
160,32599,F,REGULARIZACION,10,20432,2980,541,610,509,0,105,0,8232
161,32583,M,LIQUIDACION,21,2095,2095,1069,404,345,0,56,0,0
162,32574,M,LIQUIDACION,67,24450,24450,11854,2454,423,11854,364,0,0
163,32575,M,LIQUIDACION,13,7914,7047,0,862,859,0,56,0,490
164,32695,M,LIQUIDACION,64,23168,21800,8662,2316,492,8662,294,0,698.7
165,32575,M,LIQUIDACION,56,22430,20735,8711,2215,555,8711,252,0,872.81
166,32696,F,LIQUIDACION,41,16448,14026,9307,3002,437,9307,210,0,1338.23
167,32575,M,LIQUIDACION,35,12367,5907,4423,1140,286,4423,252,0,3899.56
168,32697,F,REGULARIZACION,13,11126,4347,1194,1500,631,0,105,0,3491
169,32575,F,LIQUIDACION,14,11177,3608,842,1033,1031,0,56,0,3972
170,32576,M,LIQUIDACION,14,4053,1106,291,506,349,0,56,0,1379
171,32587,F,REGULARIZACION,5,21924,1352,162,847,293,0,441,0,12263
172,32600,M,REGULARIZACION,5,20504,1264,151,793,274,0,441,0,11483
173,32695,M,LIQUIDACION,13,3327,2654,585,1003,970,0,21,0,198
174,32573,F,REGULARIZACION,9,15901,1503,285,503,288,0,84,0,7522
175,36510,F,LIQUIDACION,80,5682,5682,15559,3123,0,15559,0,2559,0
176,52920,M,LIQUIDACION,93,26650,26650,26315,5014,601,26315,252,0,0
177,52919,M,REGULARIZACION,10,53709,10054,1782,5292,1647,0,63,0,22632
178,54160,M,LIQUIDACION,43,6007,6007,4680,2008,188,4680,126,615,0
179,52924,F,LIQUIDACION,74,18990,18990,14689,1882,329,14689,364,0,0
180,54765,M,REESTRUCTURA,11,42591,9705,1417,3202,618,0,462,0,
181,54760,M,LIQUIDACION,20,10886,3110,620,854,849,0,56,0,4752
182,54942,F,LIQUIDACION,49,12214,10254,7340,7060,0,7340,0,4049,1190
183,54010,F,LIQUIDACION,268,7171,7171,7790,2987,0,7790,0,4184,0
184,54760,M,LIQUIDACION,86,20081,20081,7760,2505,338,7760,364,0,0
185,52928,F,LIQUIDACION,43,4380,4380,5242,660,310,5242,84,0,0
186,54614,M,REESTRUCTURA,14,14856,4595,173,752,216,0,462,0,
187,52924,M,LIQUIDACION,105,5824,5824,5050,1996,319,5050,84,0,0
188,52924,M,LIQUIDACION,196,1433,1433,1743,133,25,1743,364,0,0
189,40780,F,LIQUIDACION,12,3185,3185,479,1504,270,0,56,0,0
190,54765,F,LIQUIDACION,112,10098,10098,3413,1008,505,3413,126,0,0
191,54765,F,REGULARIZACION,4,8769,948,57,504,319,0,63,0,4124
192,54760,M,LIQUIDACION,276,18373,18373,15407,3024,595,15407,168,1069,0
193,54477,F,LIQUIDACION,16,2806,2168,160,331,328,0,56,0,352
194,52919,F,REGULARIZACION,12,9614,2732,303,701,442,0,105,0,3251
195,52918,M,LIQUIDACION,14,12714,3461,1113,1093,1093,333,56,0,4920
196,52915,F,REGULARIZACION,12,14439,2559,95,657,398,0,84,0,6432
197,22350,F,REGULARIZACION,7,13910,3710,130,1200,960,0,63,0,5329
198,22236,M,REGULARIZACION,13,15426,3332,519,1321,725,0,42,0,6259
199,22473,F,REESTRUCTURA,20,8621,4707,91,436,171,41,336,0,
200,22473,M,LIQUIDACION,78,22171,20344,5870,2195,657,5870,210,0,1092.56
200,22473,M,LIQUIDACION,77,22171,20083,5870,2211,378,5870,364,0,1248.64
201,22510,F,LIQUIDACION,19,2452,2433,861,2925,0,378,0,0,10
202,22380,F,LIQUIDACION,334,17361,17361,8145,1761,300,8145,364,0,0
202,22380,F,LIQUIDACION,335,17361,17361,8145,1761,300,8145,364,0,0
203,22685,M,LIQUIDACION,80,27949,27574,14357,2778,483,14357,364,0,235
204,22457,M,REGULARIZACION,13,42129,7696,368,5011,835,0,105,0,20302
205,22435,F,REGULARIZACION,13,27159,4012,947,1617,562,0,105,0,13564
206,22476,F,LIQUIDACION,104,12020,12020,5895,2000,334,5895,210,0,0
207,22455,M,LIQUIDACION,12,5113,1383,140,400,400,0,56,0,2296
208,22473,M,REGULARIZACION,10,33532,3603,632,1010,662,0,84,0,17144
209,22476,M,LIQUIDACION,131,15494,15494,6623,7423,0,6623,0,8071,0
210,22476,F,LIQUIDACION,104,20865,20865,9662,3519,413,9662,294,0,0
211,22205,F,REGULARIZACION,12,48331,5983,1007,1548,926,0,105,0,23125
212,22680,F,NI,12,714.77,714.77,104.71,143,48,104.71,12,,
213,22416,F,REGULARIZACION,8,4506,2336,318,981,706,0,42,0,1229
214,22204,F,LIQUIDACION,13,4123,4123,167,802,436,0,56,0,0
215,80194,F,REGULARIZACION,6,15447,1455,0,531,396,0,63,0,8480
216,80199,M,REGULARIZACION,10,29041,3530,643,711,771,0,63,0,13084
217,80120,M,LIQUIDACION,248,15610,15610,6066,1507,439,0,322,0,0
218,80308,M,REGULARIZACION,12,7163,2987,0,899,522,0,63,0,2191
219,80189,F,LIQUIDACION,105,15960,15960,5053,1608,299,5053,336,0,0
220,80194,F,LIQUIDACION,105,2010,2010,4914,343,228,4914,42,299,0
221,80298,M,REGULARIZACION,8,6192,1304,185,493,289,0,63,0,2291
222,80491,F,REGULARIZACION,13,22532,3406,830,2002,470,0,84,0,11534
223,80180,M,REGULARIZACION,8,33839,3284,217,1240,703,0,63,0,16666
224,80160,M,LIQUIDACION,70,40375,26845,11264,22603,0,11264,0,11025,6945.73
225,80430,F,LIQUIDACION,39,10360,10360,10493,6055,0,10493,0,4305,0
226,33450,M,LIQUIDACION,71,6332,6332,6137,3715,0,6137,0,2617,0
227,80430,M,LIQUIDACION,163,24917,24917,8331,11558,0,8331,0,13359,0
228,80396,F,LIQUIDACION,11,6736,4477,0,750,726,0,56,0,1186
229,80297,M,REGULARIZACION,9,23959,2251,209,544,450,0,84,0,12974
230,80492,M,REGULARIZACION,13,11289,3797,819,915,571,0,105,0,4535
231,80396,M,LIQUIDACION,73,27729,26446,6521,2772,517,6521,336,0,720.54
232,80128,M,LIQUIDACION,152,17736,17736,8991,10110,0,8991,0,7626,0
233,80374,F,LIQUIDACION,15,4176,4176,1442,576,569,490,56,0,0
234,80194,F,REGULARIZACION,9,10712,1934,274,507,392,0,84,0,5288
235,80303,F,REGULARIZACION,10,16379,2288,324,555,419,0,84,0,8562
236,80199,F,REGULARIZACION,10,20184,3480,636,702,766,0,63,0,8608
237,80303,M,REGULARIZACION,12,31565,3573,278,934,523,0,105,0,16487
238,80303,M,REGULARIZACION,13,32901,4703,1075,1503,766,0,84,0,13947
239,80396,M,LIQUIDACION,11,3066,2806,460,612,361,27,56,0,135
240,80295,M,LIQUIDACION,57,31629,21368,11569,17069,0,11569,0,8673,6083.75
240,80295,M,LIQUIDACION,56,31629,21037,11569,15790,0,11569,0,9755,6280
241,80450,F,REGULARIZACION,12,12351,1982,80,510,457,0,42,0,6259
242,80194,M,REGULARIZACION,7,22329,1957,0,867,440,0,63,0,10740
243,22610,F,LIQUIDACION,278,17644,17644,14773,3498,748,14773,42,9658,0
244,22380,F,NI,344,1561,1561,9237,1930,0,8868,0,,
245,22140,F,NI,306,11432,11432,35876,1002,298,35876,245,,
246,22560,M,REGULARIZACION,10,25401,3563,434,809,552,0,126,0,13165
247,22500,M,LIQUIDACION,88,15511,15511,7302,4511,425,7302,168,800,0
248,22597,M,LIQUIDACION,173,23734,23734,9449,13449,0,9449,0,10285,0
249,22235,M,REGULARIZACION,11,19111,4223,206,1745,786,0,63,0,8945
250,22206,F,LIQUIDACION,383,9485,9485,6374,884,334,6374,168,585,0
251,22215,F,NI,358,846,846,5212,248,234,5108,21,,
252,22234,M,NI,307,12755,12755,39925,994,336,39925,245,,
253,22234,F,LIQUIDACION,293,318,318,318,202,0,318,0,116,0
254,22597,F,LIQUIDACION,308,10326,10326,7413,1038,258,7413,252,0,0
255,22240,M,REGULARIZACION,12,23772,4107,167,704,606,0,105,0,11805
256,22500,F,LIQUIDACION,341,7806,7806,4035,1192,328,4035,126,710,0
